Drug	Gene	Observed_CNV_Variant	Civic_Variant	Tier	Evidence_type	ct	Disease	Evidence
AFATINIB	EGFR	GAIN	AMPLIFICATION	tier_1	PREDICTIVE	nct	GLIOBLASTOMA	{'SUPPORTS:SENSITIVITYRESPONSE': {'C': ['PUBMED_26423602:ACCEPTED:ACCEPTED:SOMATIC:2']}}
ERLOTINIB	EGFR	GAIN	AMPLIFICATION	tier_1	PREDICTIVE	nct	COLON ADENOCARCINOMA	{'SUPPORTS:SENSITIVITYRESPONSE': {'C': ['PUBMED_32162810:ACCEPTED:ACCEPTED:SOMATIC:2']}}
CETUXIMAB+FLUOROURACIL+PLATINUM COMPOUND	EGFR	GAIN	AMPLIFICATION	tier_1	PREDICTIVE	nct	HEAD AND NECK SQUAMOUS CELL CARCINOMA	{'DOES_NOT_SUPPORT:SENSITIVITYRESPONSE': {'B': ['PUBMED_21048039:ACCEPTED:ACCEPTED:SOMATIC:4']}}
EPIDERMAL GROWTH FACTOR RECEPTOR TYROSINE KINASE INHIBITOR	EGFR	GAIN	AMPLIFICATION	tier_1	PREDICTIVE	nct	LUNG NON-SMALL CELL CARCINOMA	{'SUPPORTS:SENSITIVITYRESPONSE': {'B': ['PUBMED_20826716:ACCEPTED:ACCEPTED:SOMATIC:4']}}
GEFITINIB	EGFR	GAIN	AMPLIFICATION	tier_1	PREDICTIVE	nct	LUNG NON-SMALL CELL CARCINOMA	{'SUPPORTS:SENSITIVITYRESPONSE': {'B': ['PUBMED_20826716:ACCEPTED:ACCEPTED:SOMATIC:4', 'PUBMED_27664271:ACCEPTED:ACCEPTED:SOMATIC:4']}, 'DOES_NOT_SUPPORT:SENSITIVITYRESPONSE': {'B': ['PUBMED_26722081:ACCEPTED:ACCEPTED:SOMATIC:2']}}
OSIMERTINIB	EGFR	GAIN	AMPLIFICATION	tier_1	PREDICTIVE	nct	LUNG NON-SMALL CELL CARCINOMA	{'SUPPORTS:RESISTANCE': {'D': ['PUBMED_28202511:ACCEPTED:ACCEPTED:SOMATIC:3']}}
ROCILETINIB	EGFR	GAIN	AMPLIFICATION	tier_1	PREDICTIVE	nct	LUNG NON-SMALL CELL CARCINOMA	{'SUPPORTS:RESISTANCE': {'D': ['PUBMED_28202511:ACCEPTED:ACCEPTED:SOMATIC:3']}}
CETUXIMAB	EGFR	GAIN	AMPLIFICATION	tier_1	PREDICTIVE	nct	COLORECTAL CANCER	{'SUPPORTS:SENSITIVITYRESPONSE': {'B': ['PUBMED_24653627:ACCEPTED:ACCEPTED:SOMATIC:3', 'PUBMED_18794099:ACCEPTED:ACCEPTED:SOMATIC:3']}}
PANITUMUMAB	EGFR	GAIN	AMPLIFICATION	tier_1	PREDICTIVE	nct	COLORECTAL CANCER	{'SUPPORTS:SENSITIVITYRESPONSE': {'B': ['PUBMED_24653627:ACCEPTED:ACCEPTED:SOMATIC:3']}}
PERTUZUMAB+TRASTUZUMAB	ERBB2	AMP,GAIN	AMPLIFICATION	tier_1	PREDICTIVE	ct	BLADDER CARCINOMA	{'SUPPORTS:SENSITIVITYRESPONSE': {'B': ['PUBMED_29320312:ACCEPTED:ACCEPTED:NA:3']}}
